frame_number,object_class,confidence_score,x1,y1,x2,y2
243,63,0.7598568201065063,295.21942,1.3553009,567.82513,146.98825
244,63,0.7278653383255005,288.35748,1.5006896,567.9058,148.11716
245,63,0.6923491358757019,283.9613,1.5571876,567.9975,152.53746
246,63,0.6491180062294006,279.32614,1.7935256,567.9065,152.53787
247,63,0.6506456732749939,274.6338,1.6723232,567.8486,155.5672
248,63,0.6563948392868042,269.5267,1.7211969,567.74426,156.16736
249,63,0.6508724093437195,265.6289,2.455291,568.0,155.50957
250,63,0.753950834274292,260.5893,2.308697,568.0,156.24782
251,63,0.6862694621086121,256.5678,1.8808185,568.0,185.57016
251,28,0.26440751552581787,258.68582,2.0152516,567.34424,194.2555
252,63,0.7296249866485596,253.83458,2.1054425,568.0,157.5794
253,63,0.5606167912483215,248.93713,1.1641395,568.0,181.20178
254,63,0.6270040273666382,246.52782,2.2258596,568.0,161.05087
255,63,0.613746702671051,242.41312,2.2513866,568.0,164.49818
255,63,0.26721277832984924,78.36821,82.74879,235.11412,178.00406
256,63,0.6593031883239746,238.04549,1.9121957,568.0,161.36948
257,63,0.656815230846405,235.27676,2.1361969,568.0,160.01938
257,63,0.31638598442077637,46.83488,0.0,228.12845,181.2605
258,63,0.658842921257019,230.915,2.151215,568.0,179.38167
258,63,0.33762675523757935,42.50458,0.0,225.3236,182.50488
259,63,0.6729545593261719,227.5412,2.709139,567.7747,166.26126
259,63,0.3247511088848114,25.803577,0.0,221.90695,181.51633
259,28,0.253320574760437,229.2447,1.8199193,567.97156,177.94421
260,63,0.6842817664146423,225.33925,2.133055,568.0,179.17787
261,63,0.5892280340194702,222.10754,2.0524113,568.0,175.75691
261,67,0.31855884194374084,221.23596,1.860722,568.0,186.27855
261,63,0.26525792479515076,53.432125,83.18876,216.06189,183.44344
262,63,0.5909408330917358,218.86641,2.8955202,567.62415,174.86461
263,63,0.5578861832618713,214.41808,2.2282429,568.0,183.93134
